HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"25 Pho Au Trieu, Church Street Hoan Kiem District, Hanoi 10000 Vietnam",141,100,9,,Indochina Boutique Hotel,$39 ,$29 ,"$29, - ,$39","Which popular attractions are close to Indochina Boutique Hotel?, ,What are some of the property amenities at Indochina Boutique Hotel?, ,Which room amenities are available at Indochina Boutique Hotel?, ,What are some restaurants close to Indochina Boutique Hotel?, ,Does Indochina Boutique Hotel have airport transportation?, ,Is Indochina Boutique Hotel located near the city center?, ,Are any cleaning services offered at Indochina Boutique Hotel?, ,Are there any historical sites close to Indochina Boutique Hotel?, ",9,34 reviews,"#140 of 1,074 B&Bs / Inns in Hanoi",4.5,,383,Excellent,25,,10,https://www.tripadvisor.com/Hotel_Review-g293924-d4700274-Reviews-Indochina_Boutique_Hotel-Hanoi.html
"68 Van Don Street, Hai Ba Trung District, Hanoi 10000 Vietnam",19,57,,"English, Vietnamese",Gallant Hotel,$36 ,$30 ,"$30, - ,$36","Which popular attractions are close to Gallant Hotel?, ,What are some of the property amenities at Gallant Hotel?, ,Which room amenities are available at Gallant Hotel?, ,What food & drink options are available at Gallant Hotel?, ,Is parking available at Gallant Hotel?, ,What are some restaurants close to Gallant Hotel?, ,Does Gallant Hotel have an airport shuttle?, ,Are any cleaning services offered at Gallant Hotel?, ,Are pets allowed at Gallant Hotel?, ,Which languages are spoken by the staff at Gallant Hotel?, ,Are there any historical sites close to Gallant Hotel?, ",,16 reviews,"#399 of 1,294 hotels in Hanoi",4.5,3.0 of 5 bubbles,105,Excellent,45,,,https://www.tripadvisor.com/Hotel_Review-g293924-d7592512-Reviews-Gallant_Hotel-Hanoi.html
"09 Nguyen Bieu Street Ba Dinh District, Hanoi 10000 Vietnam",15,89,7,"English, Danish, German, Norwegian",Royal Gate Hotel,$71 ,$69 ,"$69, - ,$71","Which popular attractions are close to Royal Gate Hotel?, ,What are some of the property amenities at Royal Gate Hotel?, ,Which room amenities are available at Royal Gate Hotel?, ,What food & drink options are available at Royal Gate Hotel?, ,Is parking available at Royal Gate Hotel?, ,What are some restaurants close to Royal Gate Hotel?, ,Are there opportunities to exercise at Royal Gate Hotel?, ,Does Royal Gate Hotel have an airport shuttle?, ,Is Royal Gate Hotel located near the city center?, ,Does Royal Gate Hotel offer any business services?, ",7,34 reviews,"#490 of 1,294 hotels in Hanoi",3.5,3.0 of 5 bubbles,82,Very good,65,,11,https://www.tripadvisor.com/Hotel_Review-g293924-d1786411-Reviews-Royal_Gate_Hotel-Hanoi.html
"12 Chan Cam St, Hoan Kiem, Hanoi 00844 Vietnam",163,100,4,,Travel Mate Hanoi Hotel,15,Vietnam,"Vietnam,Hanoi,15","Which popular attractions are close to Travel Mate Hanoi Hotel?, ,What are some of the property amenities at Travel Mate Hanoi Hotel?, ,What food & drink options are available at Travel Mate Hanoi Hotel?, ,Is parking available at Travel Mate Hanoi Hotel?, ,What are some restaurants close to Travel Mate Hanoi Hotel?, ,Does Travel Mate Hanoi Hotel have airport transportation?, ,Is Travel Mate Hanoi Hotel located near the city center?, ,Are pets allowed at Travel Mate Hanoi Hotel?, ",4,34 reviews,"#225 of 1,074 B&Bs / Inns in Hanoi",3.5,2.0 of 5 bubbles,489,Very good,15,,1,https://www.tripadvisor.com/Hotel_Review-g293924-d1913913-Reviews-Travel_Mate_Hanoi_Hotel-Hanoi.html
"52 Au Trieu Street Hoan Kiem Dist., Hanoi 100000 Vietnam",145,100,,,Hanoi Boutique Hotel,30,Vietnam,"Vietnam,Hanoi,30","Which popular attractions are close to Hanoi Boutique Hotel?, ,What are some of the property amenities at Hanoi Boutique Hotel?, ,What food & drink options are available at Hanoi Boutique Hotel?, ,What are some restaurants close to Hanoi Boutique Hotel?, ,Does Hanoi Boutique Hotel have airport transportation?, ,Is Hanoi Boutique Hotel located near the city center?, ,Are pets allowed at Hanoi Boutique Hotel?, ",,34 reviews,"#375 of 1,294 hotels in Hanoi",4,,386,Very good,30,,,https://www.tripadvisor.com/Hotel_Review-g293924-d4582328-Reviews-Hanoi_Boutique_Hotel-Hanoi.html
"2 Alley 248 Hoang Ngan Trung Hoa Cau Giay, Hanoi Vietnam",3,64,,"English, Vietnamese",Dinh Ami Hanoi Hotel,$42 ,$30 ,"$30, - ,$42","Which popular attractions are close to Dinh Ami Hanoi Hotel?, ,What are some of the property amenities at Dinh Ami Hanoi Hotel?, ,Which room amenities are available at Dinh Ami Hanoi Hotel?, ,What food & drink options are available at Dinh Ami Hanoi Hotel?, ,Is parking available at Dinh Ami Hanoi Hotel?, ,What are some restaurants close to Dinh Ami Hanoi Hotel?, ,Does Dinh Ami Hanoi Hotel have an airport shuttle?, ,Does Dinh Ami Hanoi Hotel have airport transportation?, ,Which languages are spoken by the staff at Dinh Ami Hanoi Hotel?, ",,2 reviews,"#354 of 1,177 Specialty lodging in Hanoi",2.5,2.0 of 5 bubbles,37,Average,9,,,https://www.tripadvisor.com/Hotel_Review-g293924-d13401103-Reviews-Dinh_Ami_Hanoi_Hotel-Hanoi.html
"Lane 75 Cau Dat, Hanoi Vietnam",10,84,14,"English, Japanese",6Senses Homestay Red River View,$40 ,$30 ,"$30, - ,$40","Which popular attractions are close to 6Senses Homestay Red River View?, ,What are some of the property amenities at 6Senses Homestay Red River View?, ,Which room amenities are available at 6Senses Homestay Red River View?, ,Is parking available at 6Senses Homestay Red River View?, ,What are some restaurants close to 6Senses Homestay Red River View?, ,Does 6Senses Homestay Red River View have an airport shuttle?, ,Does 6Senses Homestay Red River View have airport transportation?, ,Is 6Senses Homestay Red River View located near the city center?, ,Are any cleaning services offered at 6Senses Homestay Red River View?, ,Which languages are spoken by the staff at 6Senses Homestay Red River View?, ",14,6 reviews,"#213 of 1,074 B&Bs / Inns in Hanoi",4.5,,52,Excellent,Hanoi,"Family,Budget",1,https://www.tripadvisor.com/Hotel_Review-g293924-d12189929-Reviews-6Senses_Homestay_Red_River_View-Hanoi.html
"66 Khuc Thua Du Cau Giay, Hanoi 100000 Vietnam",6,55,,,Western Hanoi Boutique Hotel,$60 ,$30 ,"$30, - ,$60","Which popular attractions are close to Western Hanoi Boutique Hotel?, ,What are some of the property amenities at Western Hanoi Boutique Hotel?, ,Which room amenities are available at Western Hanoi Boutique Hotel?, ,What food & drink options are available at Western Hanoi Boutique Hotel?, ,Is parking available at Western Hanoi Boutique Hotel?, ,What are some restaurants close to Western Hanoi Boutique Hotel?, ,Does Western Hanoi Boutique Hotel have airport transportation?, ,Are any cleaning services offered at Western Hanoi Boutique Hotel?, ,Does Western Hanoi Boutique Hotel offer any business services?, ",,4 reviews,"#494 of 1,294 hotels in Hanoi",4,,43,Very good,31,,,https://www.tripadvisor.com/Hotel_Review-g293924-d17427048-Reviews-Western_Hanoi_Boutique_Hotel-Hanoi.html
"35-37 Hang Trong Street, Hanoi 10000 Vietnam",173,100,,,Church Boutique Hotel,$189 ,$24 ,"$24, - ,$189","Which popular attractions are close to Church Boutique Hotel?, ,What are some restaurants close to Church Boutique Hotel?, ,Is Church Boutique Hotel located near the city center?, ",,,,,,522,,Hanoi,,,https://www.tripadvisor.com/Hotel_Review-g293924-d20356844-Reviews-Church_Boutique_Hotel-Hanoi.html
"94 Yet Kieu, Hanoi Vietnam",6,82,,,Best Residence in Hanoi Centre,$38 ,$33 ,"$33, - ,$38","Which popular attractions are close to Best Residence in Hanoi Centre?, ,What are some restaurants close to Best Residence in Hanoi Centre?, ",,,,,,50,,Hanoi,,,https://www.tripadvisor.com/Hotel_Review-g293924-d14040463-Reviews-Best_Residence_in_Hanoi_Centre-Hanoi.html
"80 Mai Hac De Str Hai Ba Trung dst, Hanoi 10000 Vietnam",13,84,,,Huonggiang Hotel,$30 ,$30 ,"$30, - ,$30","Which popular attractions are close to Huonggiang Hotel?, ,What are some of the property amenities at Huonggiang Hotel?, ,Which room amenities are available at Huonggiang Hotel?, ,What are some restaurants close to Huonggiang Hotel?, ,Are any cleaning services offered at Huonggiang Hotel?, ",,,,,,150,,9,,,https://www.tripadvisor.com/Hotel_Review-g293924-d1787281-Reviews-Huonggiang_Hotel-Hanoi.html
"14/82 Van Cao Street Ba Dinh ward, Hanoi Vietnam",2,68,,,Palmo Serviced Apartment 3,$40 ,$30 ,"$30, - ,$40","Which popular attractions are close to Palmo Serviced Apartment 3?, ,What are some restaurants close to Palmo Serviced Apartment 3?, ",,,,,3.0 of 5 bubbles,31,,Hanoi,,,https://www.tripadvisor.com/Hotel_Review-g293924-d12124375-Reviews-Palmo_Serviced_Apartment_3-Hanoi.html
"22 Trang Tien, Hanoi Vietnam",48,99,,,Trang Tien Hotel,$35 ,$30 ,"$30, - ,$35","Which popular attractions are close to Trang Tien Hotel?, ,What are some restaurants close to Trang Tien Hotel?, ,Is Trang Tien Hotel located near the city center?, ",,,,,,173,,Hanoi,,,https://www.tripadvisor.com/Hotel_Review-g293924-d15300848-Reviews-Trang_Tien_Hotel-Hanoi.html
"26B Pham Hung Alley 1 Dinh Thon, Nam Tu Liem, Hanoi 100000 Vietnam",9,60,,,Ann's House,$33 ,$30 ,"$30, - ,$33","Which popular attractions are close to Ann's House?, ,What are some of the property amenities at Ann's House?, ,What are some restaurants close to Ann's House?, ",,,,,2.0 of 5 bubbles,57,,21,,,https://www.tripadvisor.com/Hotel_Review-g293924-d14957277-Reviews-Ann_s_House-Hanoi.html
"10 Pho Van Ho 3 Hai Ba Trung, Hanoi Vietnam",7,75,,,Van Ho 3,$31 ,$30 ,"$30, - ,$31","Which popular attractions are close to Van Ho 3?, ,What are some restaurants close to Van Ho 3?, ",,,,,,49,,Hanoi,,,https://www.tripadvisor.com/Hotel_Review-g293924-d17673216-Reviews-Van_Ho_3-Hanoi.html
"No. 30, Lane 32, Ha_ Yen, Cau Giay,, Hanoi Vietnam",1,54,,,Newlife Apartment Hanoi 3,$34 ,$30 ,"$30, - ,$34","Which popular attractions are close to Newlife Apartment Hanoi 3?, ,What are some restaurants close to Newlife Apartment Hanoi 3?, ",,,,,,10,,Hanoi,,,https://www.tripadvisor.com/Hotel_Review-g293924-d15809843-Reviews-Newlife_Apartment_Hanoi_3-Hanoi.html
,0,,,,Mit Hilltop Homestay,$232 ,$31 ,"$31, - ,$232",,,,,,,0,,4,,,https://www.tripadvisor.com/Hotel_Review-g293924-d14783341-Reviews-Mit_Hilltop_Homestay-Hanoi.html
"42 Nguyen Truong To Truc Bach, Ba Dinh, Hanoi 100000 Vietnam",19,91,,,Vie De Maison,$31 ,$30 ,"$30, - ,$31","Which popular attractions are close to Vie De Maison?, ,What are some of the property amenities at Vie De Maison?, ,What are some restaurants close to Vie De Maison?, ,Does Vie De Maison have airport transportation?, ,Is Vie De Maison located near the city center?, ,Are pets allowed at Vie De Maison?, ",,,,,,121,,5,,,https://www.tripadvisor.com/Hotel_Review-g293924-d15197352-Reviews-Vie_De_Maison-Hanoi.html
"Lo D2/D6 Tran Thai Tong Dich Vong, Cau Giay, Hanoi 100000 Vietnam",2,62,,,Poonsa Tran Thai Tong,$43 ,$25 ,"$25, - ,$43","Which popular attractions are close to Poonsa Tran Thai Tong?, ,What are some of the property amenities at Poonsa Tran Thai Tong?, ,Is parking available at Poonsa Tran Thai Tong?, ,What are some restaurants close to Poonsa Tran Thai Tong?, ,Are there any historical sites close to Poonsa Tran Thai Tong?, ",,,,,3.0 of 5 bubbles,20,,23,,,https://www.tripadvisor.com/Hotel_Review-g293924-d12293552-Reviews-Poonsa_Tran_Thai_Tong-Hanoi.html
"So 02/25 Dich Vong Hau, Q. Cau Giay, Hanoi Vietnam",1,65,,"English, Vietnamese",A25 Hotel - D?ch V?ng H?u,$31 ,$30 ,"$30, - ,$31","Which popular attractions are close to A25 Hotel - D?ch V?ng H?u?, ,What are some of the property amenities at A25 Hotel - D?ch V?ng H?u?, ,Which room amenities are available at A25 Hotel - D?ch V?ng H?u?, ,What food & drink options are available at A25 Hotel - D?ch V?ng H?u?, ,Is parking available at A25 Hotel - D?ch V?ng H?u?, ,What are some restaurants close to A25 Hotel - D?ch V?ng H?u?, ,Does A25 Hotel - D?ch V?ng H?u have an airport shuttle?, ,Does A25 Hotel - D?ch V?ng H?u have airport transportation?, ,Are any cleaning services offered at A25 Hotel - D?ch V?ng H?u?, ,Which languages are spoken by the staff at A25 Hotel - D?ch V?ng H?u?, ",,,,,,22,,30,,,https://www.tripadvisor.com/Hotel_Review-g293924-d15349494-Reviews-A25_Hotel_D_ch_V_ng_H_u-Hanoi.html
"45 Le Duan Hoan Kiem, Hanoi 100000 Vietnam",32,97,14,"English, Vietnamese",Hanoi Aria Central Hotel & Spa,$126 ,$21 ,"$21, - ,$126","Which popular attractions are close to Hanoi Aria Central Hotel & Spa?, ,What are some of the property amenities at Hanoi Aria Central Hotel & Spa?, ,What food & drink options are available at Hanoi Aria Central Hotel & Spa?, ,What are some restaurants close to Hanoi Aria Central Hotel & Spa?, ,Is Hanoi Aria Central Hotel & Spa located near the city center?, ,Which languages are spoken by the staff at Hanoi Aria Central Hotel & Spa?, ",61,35 reviews,"#89 of 1,177 Specialty lodging in Hanoi",4.5,,196,Excellent,230,,7,https://www.tripadvisor.com/Hotel_Review-g293924-d16666379-Reviews-Hanoi_Aria_Central_Hotel_Spa-Hanoi.html
"49 Hang Chuoi Street, Hai Ba Trung District, Hanoi 10000 Vietnam",8,82,11,,Atlanta Residences,$224 ,$65 ,"$65, - ,$224","Which popular attractions are close to Atlanta Residences?, ,What are some of the property amenities at Atlanta Residences?, ,Which room amenities are available at Atlanta Residences?, ,What food & drink options are available at Atlanta Residences?, ,What are some restaurants close to Atlanta Residences?, ,Are there opportunities to exercise at Atlanta Residences?, ,Does Atlanta Residences have airport transportation?, ,Are any cleaning services offered at Atlanta Residences?, ,Are pets allowed at Atlanta Residences?, ,Are there any historical sites close to Atlanta Residences?, ",11,36 reviews,"#75 of 1,177 Specialty lodging in Hanoi",4.5,3.0 of 5 bubbles,60,Excellent,56,Business,10,https://www.tripadvisor.com/Hotel_Review-g293924-d3794459-Reviews-Atlanta_Residences-Hanoi.html
,0,,11,,Hanoi Stay Hotel,18,Vietnam,"Vietnam,Hanoi,18","What are some of the property amenities at Hanoi Stay Hotel?, ,Which room amenities are available at Hanoi Stay Hotel?, ,What food & drink options are available at Hanoi Stay Hotel?, ,Are any cleaning services offered at Hanoi Stay Hotel?, ",11,35 reviews,"#170 of 1,074 B&Bs / Inns in Hanoi",4,,0,Very good,18,,2,https://www.tripadvisor.com/Hotel_Review-g293924-d1760394-Reviews-Hanoi_Stay_Hotel-Hanoi.html
"3 Thanh Ha Lane Hoan Kiem, Hanoi 844 Vietnam",94,100,,,Darling Back-Packer Guest House,22,Vietnam,"Vietnam,Hanoi,22","Which popular attractions are close to Darling Back-Packer Guest House?, ,What are some restaurants close to Darling Back-Packer Guest House?, ,Does Darling Back-Packer Guest House have airport transportation?, ,Is Darling Back-Packer Guest House located near the city center?, ",,35 reviews,"#305 of 1,177 Specialty lodging in Hanoi",3.5,,343,Very good,22,,,https://www.tripadvisor.com/Hotel_Review-g293924-d613147-Reviews-Darling_Back_Packer_Guest_House-Hanoi.html
"No 713, Lac Long Quan, Phu Thuong, Tay Ho, Hanoi 10000 Vietnam",0,54,,"English, Vietnamese",Hoa Dao Hotel,$35 ,$31 ,"$31, - ,$35","What are some of the property amenities at Hoa Dao Hotel?, ,Which room amenities are available at Hoa Dao Hotel?, ,What food & drink options are available at Hoa Dao Hotel?, ,Is parking available at Hoa Dao Hotel?, ,What are some restaurants close to Hoa Dao Hotel?, ,Are there opportunities to exercise at Hoa Dao Hotel?, ,Does Hoa Dao Hotel have an airport shuttle?, ,Does Hoa Dao Hotel have airport transportation?, ,Are any cleaning services offered at Hoa Dao Hotel?, ,Does Hoa Dao Hotel offer any business services?, ",,2 reviews,"#585 of 1,294 hotels in Hanoi",3.5,3.0 of 5 bubbles,13,Very good,50,Business,,https://www.tripadvisor.com/Hotel_Review-g293924-d10021333-Reviews-Hoa_Dao_Hotel-Hanoi.html
"19 Lang Ha Street, Hanoi Vietnam",4,71,13,"English, Vietnamese",Oasis 1 Hotel,$83 ,$46 ,"$46, - ,$83","Which popular attractions are close to Oasis 1 Hotel?, ,What are some of the property amenities at Oasis 1 Hotel?, ,Which room amenities are available at Oasis 1 Hotel?, ,What food & drink options are available at Oasis 1 Hotel?, ,Is parking available at Oasis 1 Hotel?, ,What are some restaurants close to Oasis 1 Hotel?, ,Are there opportunities to exercise at Oasis 1 Hotel?, ,Does Oasis 1 Hotel have an airport shuttle?, ,Does Oasis 1 Hotel have airport transportation?, ,Which languages are spoken by the staff at Oasis 1 Hotel?, ",4,36 reviews,"#725 of 1,294 hotels in Hanoi",2.5,3.0 of 5 bubbles,22,Average,41,,2,https://www.tripadvisor.com/Hotel_Review-g293924-d1149795-Reviews-Oasis_1_Hotel-Hanoi.html
"52 Yen Phu, Tay ho Tay Ho, Hanoi 84 Vietnam",24,86,22,"English, Vietnamese",Maidza Hotel,50,Vietnam,"Vietnam,Hanoi,50","Which popular attractions are close to Maidza Hotel?, ,What are some of the property amenities at Maidza Hotel?, ,What food & drink options are available at Maidza Hotel?, ,Is parking available at Maidza Hotel?, ,What are some restaurants close to Maidza Hotel?, ,Does Maidza Hotel have airport transportation?, ,Are any cleaning services offered at Maidza Hotel?, ,Are pets allowed at Maidza Hotel?, ,Does Maidza Hotel offer any business services?, ,Which languages are spoken by the staff at Maidza Hotel?, ,Are there any historical sites close to Maidza Hotel?, ",27,36 reviews,"#415 of 1,294 hotels in Hanoi",4,3.0 of 5 bubbles,107,Very good,50,"Lake View,Great View",5,https://www.tripadvisor.com/Hotel_Review-g293924-d1552420-Reviews-Maidza_Hotel-Hanoi.html
"34 Lan Ong Street, Hoan Kiem District, Hanoi 10000 Vietnam",157,97,,"English, Vietnamese",Camellia Hotel 5,$18 ,$11 ,"$11, - ,$18","Which popular attractions are close to Camellia Hotel 5?, ,What are some of the property amenities at Camellia Hotel 5?, ,Is parking available at Camellia Hotel 5?, ,What are some restaurants close to Camellia Hotel 5?, ,Does Camellia Hotel 5 have an airport shuttle?, ,Does Camellia Hotel 5 have airport transportation?, ,Is Camellia Hotel 5 located near the city center?, ,Are any cleaning services offered at Camellia Hotel 5?, ,Which languages are spoken by the staff at Camellia Hotel 5?, ",,37 reviews,"#442 of 1,074 B&Bs / Inns in Hanoi",3,2.0 of 5 bubbles,548,Average,18,Budget,,https://www.tripadvisor.com/Hotel_Review-g293924-d729822-Reviews-Camellia_Hotel_5-Hanoi.html
"118 Ngoc Ha Ba Dinh, Hanoi 100000 Vietnam",9,81,14,"English, Vietnamese",Tu House Homestay,$26 ,$12 ,"$12, - ,$26","Which popular attractions are close to Tu House Homestay?, ,What are some of the property amenities at Tu House Homestay?, ,Which room amenities are available at Tu House Homestay?, ,Is parking available at Tu House Homestay?, ,What are some restaurants close to Tu House Homestay?, ,Does Tu House Homestay have airport transportation?, ,Are pets allowed at Tu House Homestay?, ,Which languages are spoken by the staff at Tu House Homestay?, ,Are there any historical sites close to Tu House Homestay?, ,Does Tu House Homestay have any great views?, ",29,37 reviews,"#98 of 1,074 B&Bs / Inns in Hanoi",4.5,2.0 of 5 bubbles,21,Excellent,7,"Family,Charming",4,https://www.tripadvisor.com/Hotel_Review-g293924-d12832161-Reviews-Tu_House_Homestay-Hanoi.html
"85 Hang Bac Street, Hanoi 10000 Vietnam",189,100,13,,Gecko Hotel,$62 ,$32 ,"$32, - ,$62","Which popular attractions are close to Gecko Hotel?, ,What food & drink options are available at Gecko Hotel?, ,What are some restaurants close to Gecko Hotel?, ,Is Gecko Hotel located near the city center?, ,Are there any historical sites close to Gecko Hotel?, ",3,37 reviews,"#537 of 1,294 hotels in Hanoi",3,3.0 of 5 bubbles,681,Average,20,,4,https://www.tripadvisor.com/Hotel_Review-g293924-d9580312-Reviews-Gecko_Hotel-Hanoi.html
"NO. 35, Lane 75, Tran Thai Tong, Cau Giay Cau Giay, Hanoi 10000 Vietnam",0,62,8,"English, Vietnamese",Nature Hotel,$45 ,$31 ,"$31, - ,$45","What are some of the property amenities at Nature Hotel?, ,Which room amenities are available at Nature Hotel?, ,What food & drink options are available at Nature Hotel?, ,Is parking available at Nature Hotel?, ,What are some restaurants close to Nature Hotel?, ,Does Nature Hotel have airport transportation?, ,Are any cleaning services offered at Nature Hotel?, ,Which languages are spoken by the staff at Nature Hotel?, ,Are there any historical sites close to Nature Hotel?, ",27,16 reviews,"#312 of 1,294 hotels in Hanoi",5,3.0 of 5 bubbles,20,Excellent,42,Business,3,https://www.tripadvisor.com/Hotel_Review-g293924-d15660212-Reviews-Nature_Hotel-Hanoi.html
"1 Alley 12 Tran Quoc Hoan, Hanoi 10000 Vietnam",0,,,Vietnamese,Mai Villa - Mai Phuong 1 noi (,$33 ,$31 ,"$31, - ,$33","Which popular attractions are close to Mai Villa - Mai Phuong 1 noi (?, ,Which room amenities are available at Mai Villa - Mai Phuong 1 noi (?, ,What are some restaurants close to Mai Villa - Mai Phuong 1 noi (?, ",,,,,1.0 of 5 bubbles,0,,12,,,https://www.tripadvisor.com/Hotel_Review-g293924-d6208283-Reviews-Mai_Villa_Mai_Phuong_1_noi-Hanoi.html
"40B, Le Thai To Street, Hoan Kiem District, Hanoi Vietnam",29,100,,,Anh Thu's House,$37 ,$13 ,"$13, - ,$37","Which popular attractions are close to Anh Thu's House?, ,What are some restaurants close to Anh Thu's House?, ,Is Anh Thu's House located near the city center?, ",,,,,,111,,Hanoi,,,https://www.tripadvisor.com/Hotel_Review-g293924-d16743875-Reviews-Anh_Thu_s_House-Hanoi.html
"Hang Buom So Nha 3, Ngo 53, Quan Hoan Kiem, Hanoi Vietnam",133,100,,,Homstay Thanh Binh,$32 ,$31 ,"$31, - ,$32","Which popular attractions are close to Homstay Thanh Binh?, ,What are some restaurants close to Homstay Thanh Binh?, ,Is Homstay Thanh Binh located near the city center?, ",,,,,,537,,Hanoi,,,https://www.tripadvisor.com/Hotel_Review-g293924-d20216863-Reviews-Homstay_Thanh_Binh-Hanoi.html
"89 Hang Bo Hoan Kiem, Hanoi 100000 Vietnam",160,97,,,Gecko 89 Hanoi Homestay & Restaurant,$37 ,$31 ,"$31, - ,$37","Which popular attractions are close to Gecko 89 Hanoi Homestay & Restaurant?, ,What are some of the property amenities at Gecko 89 Hanoi Homestay & Restaurant?, ,What food & drink options are available at Gecko 89 Hanoi Homestay & Restaurant?, ,What are some restaurants close to Gecko 89 Hanoi Homestay & Restaurant?, ,Is Gecko 89 Hanoi Homestay & Restaurant located near the city center?, ",,19 reviews,"#112 of 1,074 B&Bs / Inns in Hanoi",4.5,3.0 of 5 bubbles,552,Excellent,Hanoi,,,https://www.tripadvisor.com/Hotel_Review-g293924-d15043741-Reviews-Gecko_89_Hanoi_Homestay_Restaurant-Hanoi.html
"12A Nguyen Trung Truc Street, Hanoi Vietnam",16,97,,,Moon Light Hanoi Apartment,$40 ,$31 ,"$31, - ,$40","Which popular attractions are close to Moon Light Hanoi Apartment?, ,What are some restaurants close to Moon Light Hanoi Apartment?, ,Is Moon Light Hanoi Apartment located near the city center?, ",,,,,,99,,Hanoi,,,https://www.tripadvisor.com/Hotel_Review-g293924-d20124029-Reviews-Moon_Light_Hanoi_Apartment-Hanoi.html
"58 Truong Cong Giai Dich Vong, Cau Giay, Hanoi 100000 Vietnam",1,62,,,Poonsa Cau Giay,$36 ,$19 ,"$19, - ,$36","Which popular attractions are close to Poonsa Cau Giay?, ,What are some of the property amenities at Poonsa Cau Giay?, ,What food & drink options are available at Poonsa Cau Giay?, ,Is parking available at Poonsa Cau Giay?, ,What are some restaurants close to Poonsa Cau Giay?, ",,,,,,22,,26,,,https://www.tripadvisor.com/Hotel_Review-g293924-d16695111-Reviews-Poonsa_Cau_Giay-Hanoi.html
"2B Tho Xuong Lane, Old Quarter Hoan Kiem District, Hanoi Vietnam",146,100,34,Vietnamese,Hanoi Home Hotel,$40 ,$13 ,"$13, - ,$40","Which popular attractions are close to Hanoi Home Hotel?, ,What are some of the property amenities at Hanoi Home Hotel?, ,What food & drink options are available at Hanoi Home Hotel?, ,What are some restaurants close to Hanoi Home Hotel?, ,Are there opportunities to exercise at Hanoi Home Hotel?, ,Does Hanoi Home Hotel have an airport shuttle?, ,Is Hanoi Home Hotel located near the city center?, ,Are any cleaning services offered at Hanoi Home Hotel?, ,Are there any historical sites close to Hanoi Home Hotel?, ",3,37 reviews,"#145 of 1,074 B&Bs / Inns in Hanoi",4,2.0 of 5 bubbles,411,Very good,7,Budget,2,https://www.tripadvisor.com/Hotel_Review-g293924-d2294495-Reviews-Hanoi_Home_Hotel-Hanoi.html
"17A Hang Dong Street, Hang Bo Ward, Hoan Kiem District, Hanoi Vietnam",71,97,92,English,Daisy Hostel,$11 ,$10 ,"$10, - ,$11","Which popular attractions are close to Daisy Hostel?, ,What are some of the property amenities at Daisy Hostel?, ,What food & drink options are available at Daisy Hostel?, ,Is parking available at Daisy Hostel?, ,What are some restaurants close to Daisy Hostel?, ,Does Daisy Hostel have an airport shuttle?, ,Does Daisy Hostel have airport transportation?, ,Is Daisy Hostel located near the city center?, ,Are any cleaning services offered at Daisy Hostel?, ,Are pets allowed at Daisy Hostel?, ",68,37 reviews,"#83 of 1,177 Specialty lodging in Hanoi",4.5,1.0 of 5 bubbles,347,Excellent,6,Budget,17,https://www.tripadvisor.com/Hotel_Review-g293924-d12257363-Reviews-Daisy_Hostel-Hanoi.html
"So 1 BT4 Khu Do Thi Moi Van Khe Phuong La Khe, Hanoi Vietnam",7,41,,,D' Villa Hotel Van Khe,$37 ,$36 ,"$36, - ,$37","Which popular attractions are close to D' Villa Hotel Van Khe?, ,What are some restaurants close to D' Villa Hotel Van Khe?, ",,,,,,24,,Hanoi,,,https://www.tripadvisor.com/Hotel_Review-g293924-d20153144-Reviews-D_Villa_Hotel_Van_Khe-Hanoi.html
"9 Cau Den Street Noi Bai Highway, Hanoi 100000 Vietnam",0,,7,"English, Vietnamese",Indochina Airport Hotel,$317 ,$10 ,"$10, - ,$317","Which popular attractions are close to Indochina Airport Hotel?, ,What are some of the property amenities at Indochina Airport Hotel?, ,Which room amenities are available at Indochina Airport Hotel?, ,What food & drink options are available at Indochina Airport Hotel?, ,Is parking available at Indochina Airport Hotel?, ,What are some restaurants close to Indochina Airport Hotel?, ,Does Indochina Airport Hotel have an airport shuttle?, ,Does Indochina Airport Hotel have airport transportation?, ,Are any cleaning services offered at Indochina Airport Hotel?, ,Does Indochina Airport Hotel offer any business services?, ",45,38 reviews,"#242 of 1,074 B&Bs / Inns in Hanoi",3.5,2.0 of 5 bubbles,0,Very good,38,Budget,4,https://www.tripadvisor.com/Hotel_Review-g293924-d3222922-Reviews-Indochina_Airport_Hotel-Hanoi.html
"No. 92-94 Hang Trong Street Hoan Kiem District, Hanoi Vietnam",157,100,21,,The Oriental Jade Hotel,$19 ,$13 ,"$13, - ,$19","Which popular attractions are close to The Oriental Jade Hotel?, ,What are some of the property amenities at The Oriental Jade Hotel?, ,Which room amenities are available at The Oriental Jade Hotel?, ,What food & drink options are available at The Oriental Jade Hotel?, ,What are some restaurants close to The Oriental Jade Hotel?, ,Does The Oriental Jade Hotel have airport transportation?, ,Is The Oriental Jade Hotel located near the city center?, ",21,38 reviews,"#496 of 1,074 B&Bs / Inns in Hanoi",2,3.0 of 5 bubbles,587,Poor,10,,11,https://www.tripadvisor.com/Hotel_Review-g293924-d1158572-Reviews-The_Oriental_Jade_Hotel-Hanoi.html
